simulation 1, result: 13
simulation 2, result: 1
simulation 3, result: 7
simulation 4, result: 67
simulation 5, result: 2
simulation 6, result: 6
simulation 7, result: 67
simulation 8, result: 13
simulation 9, result: 25
simulation 10, result: 67
simulation 11, result: 67
simulation 12, result: 67
simulation 13, result: 67
simulation 14, result: 67
simulation 15, result: 67
simulation 16, result: 67
simulation 17, result: 67
simulation 18, result: 67
simulation 19, result: 67
simulation 20, result: 67
simulation 21, result: 67
simulation 22, result: 67
simulation 23, result: 67
simulation 24, result: 67
simulation 25, result: 67
simulation 26, result: 67
simulation 27, result: 67
simulation 28, result: 67
simulation 29, result: 67
simulation 30, result: 67
simulation 31, result: 67
simulation 32, result: 67
simulation 33, result: 67
simulation 34, result: 67
simulation 35, result: 67
simulation 36, result: 67
simulation 37, result: 67
simulation 38, result: 67
simulation 39, result: 67
simulation 40, result: 67
simulation 41, result: 67
simulation 42, result: 67
simulation 43, result: 67
simulation 44, result: 67
simulation 45, result: 67
simulation 46, result: 67
simulation 47, result: 67
simulation 48, result: 67
simulation 49, result: 67
simulation 50, result: 67
simulation 51, result: 67
simulation 52, result: 67
simulation 53, result: 67
simulation 54, result: 67
simulation 55, result: 67
simulation 56, result: 67
simulation 57, result: 67
simulation 58, result: 67
simulation 59, result: 67
simulation 60, result: 67
simulation 61, result: 67
simulation 62, result: 67
simulation 63, result: 67
simulation 64, result: 67
simulation 65, result: 67
simulation 66, result: 67
simulation 67, result: 67
simulation 68, result: 67
simulation 69, result: 67
simulation 70, result: 67
simulation 71, result: 67
simulation 72, result: 67
simulation 73, result: 67
simulation 74, result: 67
simulation 75, result: 67
simulation 76, result: 67
simulation 77, result: 67
simulation 78, result: 67
simulation 79, result: 67
simulation 80, result: 67
simulation 81, result: 67
simulation 82, result: 67
simulation 83, result: 67
simulation 84, result: 67
simulation 85, result: 67
simulation 86, result: 67
simulation 87, result: 67
simulation 88, result: 67
simulation 89, result: 67
simulation 90, result: 67
simulation 91, result: 67
simulation 92, result: 67
simulation 93, result: 67
simulation 94, result: 67
simulation 95, result: 67
simulation 96, result: 67
simulation 97, result: 67
simulation 98, result: 67
simulation 99, result: 67
simulation 100, result: 67
The Optimal value:  64.18367346938776
